Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,Viber 1,Viber 2,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Atami sushi,суши-бар,Быстрое питание; Суши-бары,"улица Мичурина, 12",1 этаж,630091,,Центральный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+07:00,4.7,28,89039992092,,,,,,,,https://wa.me/79039992092,,,,,,,55.04192,82.92356,https://2gis.com/firm/70000001090561525,branch
Aziatish,,Рестораны; Бары; Доставка еды; Суши-бары,"улица Ленина, 21",1 этаж,630004,,Железнодорожный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-24:00,+07:00,4.7,969,83833828888,,manager-az@denisivanov.ru,,http://aziatish.ru,,,,,,,,,,,55.029156,82.905145,https://2gis.com/firm/70000001033945377,branch
Aрмшашлык,шашлычная,Быстрое питание; Доставка еды,"улица Высоцкого, 38 к2",,630133,Восточный МЖК ж/м,Октябрьский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Вт: 12:00-21:00; Ср: 12:00-21:00; Чт: 12:00-21:00; Пт: 12:00-21:00; Сб: 12:00-21:00; Вс: 12:00-21:00,+07:00,4.8,185,89232270077,,,,,,,,,,,,,,,55.029376,83.021418,https://2gis.com/firm/70000001031130158,branch
Bacco,,Рестораны,"улица Максима Горького, 54",1 этаж,630099,Тихий центр м-н,Центральный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 08:30-22:00; Вт: 08:30-22:00; Ср: 08:30-22:00; Чт: 08:30-22:00; Пт: 08:30-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+07:00,5.0,8,89137223374,,,,http://baccoresto.ru,,,https://vk.com/bacco_nsk,https://wa.me/79137223374,,,,,,,55.026892,82.919358,https://2gis.com/firm/70000001102631588,branch
Bakalar,,Кафе; Бары,"улица Гоголя, 51",1 этаж,630112,Ипподромский м-н,Центральный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-01:00,+07:00,4.6,236,89529364023,,,,,,,https://vk.com/bakalarnsk,,,,,,,,55.044656,82.942631,https://2gis.com/firm/141266769833847,branch
Bakalsky,,Быстрое питание; Точки кофе; Точки безалкогольных напитков,"Мозжерина проспект, 100Б",2 этаж,633104,,,Обь,Обь городской округ,Новосибирская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+07:00,5.0,1,,,,,,,,,,,,,,,,55.009833,82.667938,https://2gis.com/firm/70000001090594841,branch
Bakalsky,,Быстрое питание; Точки кофе; Точки безалкогольных напитков,"Мозжерина проспект, 100а",терминал С; 3 этаж,633104,,,Обь,Обь городской округ,Новосибирская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+07:00,2.8,8,89059557199,,,,,,,,,,,,,,,55.009109,82.665532,https://2gis.com/firm/70000001075146368,branch
Baker street,пекарня,Быстрое питание; Пекарни; Доставка еды,"Октябрьская улица, 36 к1",,630007,Тихий центр м-н,Железнодорожный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 07:30-20:00; Вт: 07:30-20:00; Ср: 07:30-20:00; Чт: 07:30-20:00; Пт: 07:30-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+07:00,4.7,62,89137804556,,,,,,,,https://wa.me/79232417865,,,,,,,55.024289,82.917671,https://2gis.com/firm/70000001083027505,branch
Bar&terrace 10ten,,Рестораны; Бары,"улица Орджоникидзе, 31",10 этаж,630099,,Центральный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 17:00-24:00; Вт: 17:00-24:00; Ср: 17:00-24:00; Чт: 17:00-24:00; Пт: 17:00-02:00; Сб: 17:00-02:00; Вс: 17:00-24:00,+07:00,4.6,530,83832300300,,,,http://ga-nsk.ru,,,,https://wa.me/79659992068,,,,https://t.me/grandautograph,,,55.031527,82.923851,https://2gis.com/firm/70000001018854195,branch
Barbaris,кафе,Кафе; Доставка еды,"Серебренниковская улица, 23",1 этаж,630007,,Центральный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-23:00; Сб: 10:00-23:00; Вс: 10:00-22:00,+07:00,4.0,226,83832552588,,,,,,,,https://wa.me/79628352588,,,,https://t.me/+79628352588,,,55.023171,82.926012,https://2gis.com/firm/70000001006193373,branch
BarBQ,гриль-бар,Быстрое питание; Доставка еды; Кафе,"улица Кирова, 29",1 этаж,630008,,Октябрьский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00 (кофейня: пн-вс 10:00-23:00),+07:00,4.5,495,83832918999 (служба предзаказа и самовывоза),89139158999,bbqnsk@gmail.com,,http://barbq.su,,,,,,,,,,,55.016603,82.947994,https://2gis.com/firm/70000001037700286,branch
BarBQ,гриль-бар,Быстрое питание; Доставка еды; Кафе,"проспект Карла Маркса, 47",1 этаж,630073,,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+07:00,4.1,379,83832884447 (служба предзаказа и самовывоза),,bbqnsk@gmail.com,,http://barbq.su,,,,,,,,,,,54.990542,82.908221,https://2gis.com/firm/70000001032234301,branch
BarBQ,гриль-бар,Быстрое питание; Доставка еды; Кафе,"Красный проспект, 50",1 этаж,630091,,Центральный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-23:00,+07:00,4.3,408,83832819999 (служба предзаказа и самовывоза),,bbqnsk@gmail.com,,http://barbq.su,,,,,,,,,,,55.035268,82.919581,https://2gis.com/firm/70000001026898471,branch
BarBQ,гриль-бар,Быстрое питание; Кафе,"Каменская улица, 44",1 этаж,630099,,Центральный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+07:00,4.7,1285,83832557050 (служба предзаказа и самовывоза),,bbqnsk@gmail.com,,http://barbq.su,,,,,,,,,,,55.033475,82.928118,https://2gis.com/firm/70000001019895912,branch
Barcelona,пицца-бар,Кафе; Доставка еды,"улица Одоевского, 1/8",цокольный этаж,630034,КСМ м-н,Первомайский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (до последнего клиента: сб-вс),+07:00,4.4,245,89130655544,,,,,,,https://vk.com/pizzabarcelona,https://wa.me/79130655544,,,,,,,54.937554,83.106517,https://2gis.com/firm/70000001017182077,branch
Barn Burger,бургерная,Кафе; Доставка еды,"улица Богдана Хмельницкого, 27",1 этаж,630075,Богдана Хмельницкого м-н,Калининский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+07:00,4.8,209,89529040404,,,,,,,,https://wa.me/79529040404,,,,,,,55.07246,82.946412,https://2gis.com/firm/70000001062531789,branch
Bbq,шашлычная,Кафе,"Александра Чистякова, 12",,630023,Южно-Чемской м-н,Кировский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+07:00,,,89139043030,89132039988,,,http://bbq-kafe.tilda.ws/,http://kafe-bbq.ru,,https://vk.com/id895671868,https://wa.me/79139043030,,,,https://t.me/+79139043030,,,54.942742,82.965923,https://2gis.com/firm/70000001102934601,branch
Bbq,шашлычная,Быстрое питание; Доставка еды,"Владимировская улица, (16)",,630003,,Железнодорожный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+07:00,4.8,859,89139043030,89132039988,,,http://bbq-kafe.tilda.ws/,http://kafe-bbq.ru,,https://vk.com/id895671868,https://wa.me/79139043030,,,,https://t.me/+79139043030,,,55.037715,82.889523,https://2gis.com/firm/70000001021357499,branch
Bbq Smoker,гриль-бар,Кафе; Бары; Доставка еды,"Первомайская улица, 7а к1",1 этаж,633010,,,Бердск,Бердск городской округ,Новосибирская область,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+07:00,4.5,190,89833230707,,,,,,,https://vk.com/smokerbar,https://wa.me/79833230707,,,,,,,54.766766,83.099608,https://2gis.com/firm/70000001035796323,branch
Bear,кафе,Кафе,"Ягодинская улица, 30/1Б",,630041,,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+07:00,3.3,2,89134843709,,,,,,,,https://wa.me/79134843709,,,,https://t.me/wakeparkbear,,,55.000127,82.771747,https://2gis.com/firm/70000001062421899,branch
Beefgrill,кафе-гриль,Быстрое питание,"С-200, 10",131 офис; 1 этаж,630501,,,,Новосибирский район,Новосибирская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00,+07:00,4.8,53,89139126830,83832146830,,,,,,,https://wa.me/79139126830,,,,,,,54.913965,82.984425,https://2gis.com/firm/70000001032664598,branch
Beefy,мясной бар,Кафе; Бары; Доставка еды,"улица Фрунзе, 5",цокольный этаж,630091,,Центральный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-24:00,+07:00,4.7,1466,89833048262,,,,http://beefymeatbar.ru,,,https://vk.com/beefymeatbar,https://wa.me/79833048262,,,,https://t.me/BeefyMeatBarFrunze5,,,55.036619,82.916995,https://2gis.com/firm/70000001026065346,branch
Beer burger hot dog,бургерная,Быстрое питание; Доставка еды,"Залесского, 4 к4",,630047,,Заельцовский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+07:00,4.4,559,89237753558,,,,http://burgers.su,,,,,,,,,,,55.067872,82.926891,https://2gis.com/firm/70000001020333255,branch
Beerbistro,,Рестораны; Бары,"Красный проспект, 22",1 этаж,630007,,Центральный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-24:00,+07:00,4.7,159,83832888808,,,,http://beer-bistro.ru,,,https://vk.com/beerbistro,,,,,,,,55.022709,82.92295,https://2gis.com/firm/70000001076501610,branch
Beerfactory,пивной ресторан,Рестораны; Бары; Доставка еды,"Красный проспект, 22",цокольный этаж,630007,,Центральный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-24:00,+07:00,4.3,1053,83832003553,,,,,,,https://vk.com/beerfactorynsk,https://wa.me/79139339200,,,,,,,55.022497,82.923104,https://2gis.com/firm/70000001006936913,branch
Beerman на речке,ресторан,Рестораны; Доставка еды,"улица Добролюбова, 2а",1 этаж,630009,,Октябрьский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+07:00,4.7,2850,83833759909,,info@beerman.ru,,http://didelivery.ru/beerman,,,,https://wa.me/79231884989,,,,,,,55.002784,82.942329,https://2gis.com/firm/141266769622798,branch
Beerman&Grill,ресторан,Рестораны; Доставка еды,"Вокзальная магистраль, 1",1 этаж,630004,Челюскинский ж/м,Железнодорожный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+07:00,4.8,1741,83832279865 (администратор),,info@beerman.ru,,http://didelivery.ru,,,,https://wa.me/79231005954,,,,,,,55.035307,82.900561,https://2gis.com/firm/141265769609672,branch
Beerman&Пельмени,ресторан,Рестораны; Бары; Доставка еды; Банкетные залы,"Каменская улица, 7",1 этаж,630099,,Центральный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-01:00; Сб: 09:00-01:00; Вс: 09:00-24:00,+07:00,4.8,1501,83833750490,,info@beerman.ru,,http://didelivery.ru,,,,https://wa.me/79231002785,,,,,,,55.025938,82.92929,https://2gis.com/firm/141265769956671,branch
